id_text,text,label
1932,Maybe she should go back to being a waitreswsw then.,1
9013,No one wants to fuck a fat dyke,1
8815,"Trans people aren't an ""attraction"". You're just assuming things about trans people's bodies and lives. It's delusional. You're attracted to something that is at someone else's expense. That isn't healthy for your partner. A major red flag.",0
20013,"At 7:19 is why I hate people, women especially look how mad she got just because the dog splashed her.. f*** you you stupid b**** either have fun or go kill yourself",1
20054,oh that's cute. you didn't even read the thing you claim to support. there is nothing biologically inherent in women that would make them less adapt to do it work. thinking so does in fact make you 'crazy stupid'. sorry!,0
26960,@GTIATJohn316 Praying for children.,0
29182,Blindfolded anon bottom slut taking Load #4. #gayslut #gaybreeding #gaysex URL,0
479,"Years and years ago, we had the crusades.. Because of this exact same thing. An Islam invasion. Why have we become so fucking weak?! To all Europeans in this sub. VOTE VOTE VOTE. THE EU ELECTIONS ARE COMING.",0
20060,I love that you enjoy being trans.,0
20008,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,1
20070,Who hurt you? Lol. It's comical how stupid and angry you people are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.,0
7128,Twice a victim. First to the SJW society that ill equipped them to deal with reality and second to the Muslim scum that butchered them.,1
12957,"I figured out I wasn't cis in May 2017, and then started testosterone in March of 2019. So I spent a solid 2 years with living as a guy (although not always passable). I started t 2 months before my 16th birthday and I'm happier then I ever have been in my life. I think if someone has known for a few years and is fairly certain they are trans 14 is the bare minimum that someone should be allowed on cross sex hormones. 13 is definitely too young, 14 is still iffy but I can see a 14 year old on hormones.",0
5937,"I'm no historian, but if my factual sources are correct there were still major discrimination, with a famous example being the instanbul pogroms, which basically resulted in almost all of the ethnic Greeks moving from the region. IIRC correctly there are maybe just a couple of thousands left in a country with millions of inhabitants. (Not that this is of course if my sources are factually correct)",0
19564,dumb whore,1
20032,shut the fuck up you dumb black bitch,1
11704,fucking lesbians. i will fuck you both into ass,1
8195,Apparently Muhammad's warriors cannot read.,1
28462,Y'all females think getting pregnant is gonna trap me bitch I will kill my self,0
20043,"im ,i hate black people and minorities",1
5797,This is why rape is so fucking terrible,0
20426,The Hindus and the Jews are natural friends. It's heartening to see India and Israel coming together deeply. URL,0
20053,"No, the chances of a muslim shooting you in America is almost nil. There are over 50K gun deaths every year christian USA. We should be focusing our attention on Christians and less on peace loving Muslims.",0
