id_text,text,label
17323,Fuck off faggot lol,1
28257,I'm convinced this generation is filled with soft ass bitches 😒,1
357,"Hello my fellow knismos! I've gone on another long-winded exploration towards investigating sexuality through the lens of being one of us. I was inspired in part by a lot of the questions and discussions that I saw here, and wanted to share this with you guys especially. I recommend reading the section on relationships since I think a few of the questions and discussions I've read here I touched on there. Though, if you have the patience, please read the whole thing!",0
30735,"😂 it's true.  And if not, we're doing the verbal equivalent.  Honestly, we are a very simple (stupid?) gender. URL",0
20012,"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1
36247,Black hair chen nation Let's go winning team URL,0
531,"It's weird because sometimes we Asians that are from hotter climates admire the skin of Caucasians! Maybe we just tend to see the good in others and our own faults. Anyway, I think the very normative way we view skincare and how it's typical to take good and regular care of our skin is why a lot of us have pretty good skin. Also, sunscreen!!",0
1425,That's the gayest thing I have ever seen... and I saw what you were doing last night!! 👀,0
19184,I mean Afghanistan that's fought off foreign invaders for 1000 years with no more than armed goat farmers,0
26848,Missing Zakir Majeed Baloch's mother appealed to @UN to help her in her son's safe recovery who has been missing since last 10 years he was abducted by Pakistani security forces. #SaveBalochMissingPersons  #BalochMissingPersonsDay @hrw @amnesty URL,0
17249,Let those fuck face cock sucking cunt get called as Mass Murderer. They will be remembered for killing innocent ciitzens. Their punishment will be their wives raped. or probably their daughter,1
30068,"Hey asshole i wrote ""fake JEWS""",1
3107,Good. Fucking religious whack jobs.,0
45810,the only minority trump likes is conservative white males. mitch is a good old boy who sold out to get his wife a job.,1
46357,We don't have a Country without borders! They have done this to themselves!!!!!,0
31761,"i'm so glad that after years of straight white men leading the mcu, we're seeing WOMEN, LGBTQ, PEOPLE OF COLOR LEADING THE BIGGEST FRANCHISE IN HISTORY URL",0
39862,🗣TELL THEM PUSSY CRACKAS THEY CAN BRING THE DOGS,1
29423,on my momma i'm finna knock all this shit over,0
15830,Iraqi attacki! Love this guy!!,0
