id_text,text,label
43356,She's absolutely disgusting,0
33968,"Alhamdulillah, @alimaancc completed their London to Paris cycle ride last night. May Allah accept their amazing efforts. Continue to support them by donating on their fundraising page: URL URL",0
20063,"Lady in the back Blinks when ""her"" camera red light goes on. Part of the tranny SHOW. Before ya deny...see: Transvestigations on Yt. Trannies are PROUD to show How It's Done!👍",0
20004,ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes,1
20017,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",1
34971,".@SenatorBennet, former school superintendent, makes a passionate case that unequal educational opportunity is a root cause of racial disparities in the U.S.",0
20010,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.",1
42598,This is how many people want them to do stereotype videos again ⬇️,0
20037,A black person Acting scared of harmless Animals Just because..... What's new Dramatics are their specialty,0
34742,"@marcorubio High school kids kicked your ass in a debate when you defended the slaughter of kids. Like every disgusting resluglican you love death, abuse and rape, preferably as it applies to youth. Stop your phony prayer group, you're a sick devil. Jesus hates you, so fuck off.",1
16480,Edgiest bitch in eddyville kentucky,1
12509,"With my whole respect to you , I'm Muslim and I have a different religion and I studied Christianity and it wasn't​ suitable for me",0
16108,Liar that's some random chick off the Internet you neckbeard,0
22941,@michael_house9 Another extreme case of the Barbie syndrome!,0
20062,I've always been proud of the Igbo tribe and our culture. Yesterday made me even more proud. You people are too fine abeg. #OgbakoUmuIgboDay,1
20032,shut the fuck up you dumb black bitch,1
10392,Hopefully we can do a better job of preventing radical Islamic terrorists from committing such atrocities again so this wont be an issue.,0
3719,"I mean, yeah. Y'all are being dumb white guys.",0
13396,Wish i could tongue fuck your ass while you jerk that cock,1
4869,"Same. I'm 27 and only this year realized I'm a lesbian, after years thinking I was bi, making excuses to not date men, and trying explain why I don't want to be with men, well, turns out it's because I'm a lesbian that never really questioned my lack of attraction to men. Ahh, feels good, like a huge weight lifted off my shoulders!",0
20059,happy pride month i'm gay URL,0
20022,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,1
39707,Fuck. This. Bitch. And if you follow/support her then fuck you too. URL,1
16094,He's a white supremacist. They're always this *fertile female* stuff.,0
5620,I'm wanna fuck her brains off,0
3031,"Fuck all three ladies, kill all 3 pussies with my hard cock, and everyone is merry.",0
25468,"""Kick her right in the pussy"" URL",0
47104,Send the Mexicans back ! But let's buy chapo from Mexico 😂 America is a joke,1
14533,"That, and, would you march for FA recognition? I know I wouldn't, lol. I'm not proud of myself at all. Whereas gay people, have pride. Ba dum tish.",0
42325,"That woman wearing hijab... I never knew a woman with hijab could be that beautiful as a female flag race (sorry, ignore the fact that idk what's the name of it) 😂",1
17141,I am sorry you misunderstood me... I support your right to live your life the way you want it. You can wear whatever you want... love whoever you want as far as I am concerned.  My point was... you should not be ashamed of the fact that every inch of your body is sexual... you should think of it as your power.,0
46783,@White Power she is a repulsive brat,0
17900,You look like you tell black people you don't say the n word rapping in the car,1
20012,"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1
19082,How do these idiots not stop and realize how profoundly anti women this is. To think you can just buy womanhood off a shelf and proclaim yourself one. To ignore how much time and work these women put in to look the way they do only to have some dude with a dick come in and say he's one of them.,0
49619,"all this proves is that atheists can be real scummy people and super good liars which is exactly what one might expect from an atheist who has no morals or purpose in life because their bags of meat for whatever reason. yay good job for proving another ""stereotype"" about atheists to be true. they lie, and their good at it, and their sociopaths. he literally had the same emotion or lack there of through the entire video even when he was exposed he was just consistently the same and thats pretty cringe.",1
27897,"@Salexakator @LauraMingles @NeggytheEggy @emilyfresno @Sleebers ""some terrorists"" how do you only have SOME terrorists within a whole ass Nazi organisation? are there only SOME terrorists within ISIS or does this arbitrary rule only apply to white ppl?",1
27561,when colonizers get mad cause we call them colonizers 😭,0
20008,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,0
12290,"We may have small dicks, but at least we are not fuckin' racist.",0
24392,Send these heathens to JAIL,0
20021,That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth,0
26518,"Regardless of whether youre sinning or not prayer is still compulsory.  There is a narration something to the effect where a man came to the prophet s.a and said ""this person prays in the night and steals in the morning."" And he replied ""prayer should stop him from doing that""",0
11258,FUCK YOU AND YOUR KIKE POEM IT DOESNT REPRESENT AMERICA OR AMERICAN VALUES YOU WORM,1
3,"I'm not saying you said that, I'm just saying that if you find a slur offensive (in this case the word niga) you'd find every other slur offensive. For me it's the opposite, I find none of them offensive because unless the context is bad no one should give a shit. I can call my black friend ""niga"" in a friendly way or in an evil way. There's a difference",1
4804,This guy is a massive ex-muslim grifter just like Rubin.,0
5973,The pedo church is vile,1
17637,One lady and 2 Salty bois,1
