id_text,text,label
18355,Gotta agree with joshstice. Another black man here with two young boys. It's things like this and people like you that keep me optimistic about our country and the future of my little nuggets.,0
13659,"White, married, uncut respectful gentlemen here in California. You have two major turn ones for me right away. BBW and Hispanic. A perfect combination. I have kik if you ever want to talk.",0
2040,"Fuck the Queen, aborted that bitch in 1776",1
581,"I don't have a white father or filipino mother, but i'm still hapa. Your race always changes your life",1
12200,"Let's be real, they didn't read it they watched the movie. That graphic novel has pages and pages of background with no associated pictures. I find it suspect that these clowns read that much. Also one of the underlying themes the whole thing is that no matter how many good deeds you do in your life, if you are a man that is generally shitty to women then you are a piece of shit regardless.",1
15922,Perfect. Makes it easier to shove every inch of my cock inside your fuck hole,0
3304,"Only the pros don't, I've been competing since 2012 female bb/physique always worked full time. You just do it, you won't have much of a social life, but in reality if you love the gym and training you don't socialize outside of the gym much anyway. Am I right?",0
35522,"you got my digits , 1-800 choke that hoe",0
40093,You slap his lil fagot ass around,1
47243,That baseball is racist. I'm trying to fit in with the mallenials this is how right hahaha,0
26038,BTS PAVED THE WAY BTS PAVED THE WAY BTS PAVED THE WAY BTS PAVED THE WAY BTS PAVED THE WAY BTS PAVED THE WAY BTS PAVED THE WAY #BTSGrammysMembers URL,0
16620,"I mean like, this guy clearly hated immigrants, we can agree on that right? The Democratic Party has pretty much adopted an at-minimum neutral attitude and at-most a very open attitude towards immigration.  You know who's held a constantly negative view towards immigration the last few years, especially immigration from Hispanic countries? President #45.",0
9249,"Bigots should not have a place in our society, even under the guise of religion.",0
8976,"I would really love to cock pummel her like crazy, and I bet her pussy is incredibly tight.",0
1414,Famine and oppression and you are afraid of a few foreigners. What a Fucking quisling shitebag.,1
3502,"The problem is it's now become open and publicly accepted that feminism is not about equality at all. In their opinion, all men are part of the problem. So any wrong to any man is a equalizer to all women. It's very black and white, as all women are repressed and deserve constant retribution. This is the new equality.",0
23844,@sladedick @rockeevee Kyle masturbates for 30min every night before bed to pics of his fav hentai traps,1
7279,Fuck me!! Start with devouring those gorgeous lips! Peel them apart gently and lick every part of her willing pussy  I'd then divert my attention to her ass before returning to her pussy to fuck her ling and deep,0
29920,"She should be sent back, and it is about time that people started waking up to the dangers of importing people like Omar. URL",0
30373,LESBIANS DONT WANT TO DATE MEN ARE YALL FUCKING DUMB,0
12057,An involuntary celibate man who thinks they are owed attention and sex from women. They are angry at women for not having sex with them. They are misogynistic and have an overall nasty attitude towards women and won't accept that they are the reason they can't get laid.,0
19980,Pinoys here LOVE their daily dose of America worship,0
47176,i have never seen a hijabi in famous ppl music video😩🧕🏽😍RITA A QUEEN FOR THIS👸🏽,0
12534,Nice tits whore but show your holes next time,1
7881,> coed Boy Scouts That gave me an aneurysm.,0
3417,Doesn't part of the Quran say to kill non Muslims?,0
40478,"As usual, I enjoyed this very much! Thai women are so beautiful.!",0
16936,Sell your mother's cunt.,0
14046,"Shortage of black doctor, why does everything have to be racial. What there's too much white doctors that's the problem? More doctors =more doctors...",0
30385,"If your plans didn't turn out the way you wanted, turn to ALLAH, ALLAH has better ones for you.",0
38975,Hot and super horny euro girls get their little wet pussies pounded ! #Porn >> URL << URL,0
26025,"GROW UP. Did you think because of your beliefs and nationality, that you would be immune from backlash. Every time you open your mouth is an opportunity to hate you and your ideas.IF YOU CAN'T STAND THE HEAT. GET THE FUCK OUT OF THE KITCHEN. GOD DAMN PIECE OF SHIT",0
31409,@spriggs_dan @GGonzalez122 @_TJWatt too bad that bottle didn't explode through your skull and either take your eye out or just fucking kill you for being a beta cuck faggot,1
5557,"Honestly, I can't even imagine why a pre-operative trans woman would WANT to attend that; can you imagine the dysphoria from being the only one with different genitalia? \[Granted, I can't imagine a pre-operative trans woman wanting to have sex either, so maybe I just won't ever get it\]. ​ But that's awesome that you organize that; I bet it's a really awesome experience to exist in a space completely separated from men.",0
18051,"An extreme Christian would not be using the word to take authority he does not have.  While some of what he says sometimes may be true, he is not behaving in a godly manner. That is not extreme Christianity. It is, rather, sin.",0
33924,"""We want citizenship, we want all our rights. We don't trust them. We will return only if international protection is in place."" URL",0
30704,The black people who were blessed to come to America and who live here now or the luckiest black people on earth,0
36983,"@realDonaldTrump Trump lied,said El Paso was dangerous & is now safe because of the Wall. The mayor contradicted his lies. Trump doesn't want immigrants in a Hispanic city! So what happens? A White nationalists Trump supporter with assault rifle kills innocent ppl.  URL",0
2068,A child rapist is still a child rapist. A supposed enlightened man of god should have known raping children wasn't okay. I guess his god just conveniently forgot to mention it when he was ordering him to go out and rape men and women who weren't Muslims to insult and degrade them. Don't give me that stupid shit. Islam 100% encourages rape.,1
36884,"If, in the span of 24 hours, two Islamic terrorists shit and killed 40 people in separate places, Republicans would be foaming at the goddamn mouth demanding there be citizenship requirements and a religious test to buy a gun in this country.",0
15116,"Ah yes, the holocaust. The tragic death of over 11 million. I pray the world never forgets the 22 million that were slaughtered. Our constant thoughts and prayers must subside with those 36 million.",0
36663,"keanu reeves has worked with 13 female directors, more than any of yall's white boys of the month so stan my precious baby URL",0
11870,Got it. Thanks for the clarifying and congrats for you on being open and proud about your sexuality. It's a hard journey for many to accept and is a beautiful thing when people can be open and confident about who they truly are!,0
34730,"I don't even know what to say anymore.  I feel sorry for you, America.  Wake up, Democrats! This must be condemned! ⏰ @AOC says Palestinians 'have no choice but to riot' against Israel URL",0
22646,"speaking of which i have unmatched with 2 and responded to 2, didn't realise there were some actual hotties on there 😍 URL",0
45080,Retarded ass white people,1
20909,"There is no point of being together. I hate my life and my decision of being one! Ahh fuck it. Ive made up my mind and no need to think it over and over again! Some gay guys are into fun only. Repent while you can. In Bible and Al-Quran, there's this story of",0
19154,"sahib??? no idea what that means...  ​ yes pretty sure the hooked nose is a antisemetic stereotype but nice try with the photoshopped photo  [URL\_nose](URL  They dont weapon test for you moron, they weapon test their own weapons then sell it to you after taking $3.5 bliion a year from your taxes.....as they say, theres a sucka born every second, most of them are in america",0
29555,HE'S A FUCKING PSYCHOTIC INCEL WHO DESERVES TO FUCKING PERISH,0
28841,@beckiesunited @sleepisaightig1 @PURPLEBECK1 @lilminmeowmeow @lana28245349 and we ain't be prejudiced that girlie is racist and has no place being in the kpop industry when she's 100% white,0
1779,as a gal who goes to tournaments. a lot of people don't care about my gender that often.,0
48848,"Indian wankers never learn , that is not your land , yet warmongering",1
47025,"Get the hell out of America go live elsewhere you assholes make me sick. Go live in Cuba, Venezuela you won't be missed.",1
3734,Get a life bitch.,0
45648,@Katherine Kelly I bet ur Christian lol,0
19386,This man has beta energy,0
519,"Sincere question. What is Parsi community's views on BJP and Modi overall. Also for Fadnavis. The recent issue about temple and metro has made a headlines and made me believe Parsis have strongly become anti-BJP. But when the issue was resolved by metro guys making extra, post-SC order changes to metro line, hardly any media covered it. Is there any changes in the views after it. I had some Parsi friends in my childhood so I'm eager to know about it.",0
9817,I wanna suck her cock while she fucks the beautiful black dildo then I want her to destroy my ass with it,0
25761,"This year, I was proud to host the Israeli Embassy's 8th annual Iftar dinner. Wishing an Eid Mubarak to the over 1.5 million Muslim citizens of Israel and to the over 1.5 billion Muslims across the world.",0
36184,Women are not worth anything in this country. 60 weekend days for attempted murder? WTF??? URL,0
27648,"Once again for y'all in the back, hoes mad",0
13276,I wipe black people off my ass every morning.,1
18126,and I thought it was Pastor Jim's Bible Church this whole time,0
8355,"Sorry if you think Americans being scared of Al Qaeda is funny you shouldnt be kicked out of this country, you should be kicked out of this life like the people who died on 9/11 were.",1
46840,"The bible is full of bullshit, nonsense and fairytales. Screw your bible.",0
27642,@F1MidBoss @jjjosuke @i_d_zero @iGumdrop Are u like asian? No im like asking because you sound like a model minority and antiblack. Do u sleep with a cloak of warm white supremacy at night? Is it silk? Satin? Or *cotton*. Why are yall so anti-black. Black people reclaimed the n word. U lack range sweetie.,0
44916,Enjoy you're freedom this could be a Muslim country...,0
49994,"its 2019, NO one cares that you are gay. What else you got! What do you want on your tombstone, here is Wil he didnt amount to shit in life, but he sure was GAY!!!!!",0
37662,India got freedom from British in 1947 but we got the total freedom today #fullFreedom URL,0
37004,This whole country is embedded w racism that is no lie but the media is beating it into the brains of American ppl to be over sensitive of any thing White..,0
6966,I would like to see them bouncing while you sit on my lap riding my hard cock.,0
29909,White women with fat asses who like black guys are the most annoying people on the planet,0
16438,jacked off toilet shit fag,1
3704,Bitch use to set guys up for a beating & robbery fuck her.,0
4620,Fuck me! That pussy deserves a fat cock!,1
27274,Last time I looked through a nigga phone I ain't laugh for 5 months🤕,1
13079,Says the man in a mask pointing a knife at the world. An ISIS wannabe.,0
13596,"It's great to see them supporting LGBT, especially in difficult countries like Poland and Russia!",0
35244,"Some niqqas save hoes, I'm not that heroic 💯",1
17762,Her impotence makes me smile.,0
32636,"@LizaRosen101 @11KAG11Thoryn These need to be & I hope they were arrested for their hate crimes! That's so WRONG to scream 'Go back to the fire' implying fires where they burned Jews in the Holocaust! WoW These Muslims are so full of the devil's HATE, they can't comprehend decent behavior, How pathetic. URL",1
39626,All of Shizleen Jamshaad's family members have been approved for an Australian visa. All except for three-year-old Kayban. Now he and his family are facing deportation and his family fear he won't survive if they are forced to leave,0
13242,Enforcing immigration laws and removing criminals would be an example of treating American citizens with decency and respect. Just ask Kate Steinle's family.,0
23370,"""When young men are incessantly told that the pinnacle of manhood is eating, sleeping and ejaculating, is it really so surprising when they shy away from defined gender roles of a higher calling?"" URL",0
6462,Love to make that pussy leak my cum,0
15088,it is very sad that these kids were kidnapped and dragged across the border. at least they aren't in the Obama cages anymore.,0
10129,"I think white people can be proud of their specific heritage but I agree there is no need to be proud of ""being white"". Even then I have faced no hardships for being bi but I still go to pride and celebrate how far we have come as a community",0
14919,Suck your dick.,0
46082,0:28 is when the quiet kid in class starts humming murder on my mind,1
33828,I hate when people be on my dick about shit they shouldn't be on my dick for.. at all! Sueltaaaaameeee la ñemaaaaaa wow,1
13548,I think you may be autistic.,0
25558,That's it? You women getting strict URL,0
1063,"She's not trying to ""control"" it.  She simply doesn't want to participate in it. And that's fair enough. I'm not Jewish, I'm atheist. But I doubt I would attend my child's baptism in any faith. If they want to do that, up to them. But it's their personal, private, independent choice. For what it's worth I did attend a friend's children's baptism. But their whole family is christian and it didn't have any impact on me personally. For OP, this does.",0
40470,I hope the best for Mexico. I have met a lot of Mexicans and the majority were nice and humble. GOD bless Mexico.,0
48660,"Are you for real? Why don't YOU work harder. For your information, people of color are some of the hardest working people in this country. You sound like a true, blue racist.",0
9052,Can't pay for that thousand dollar top or bottom surgery? Well no worries my trans friends!! Jump right in!,0
39652,"More than 100 immigrants on hunger strike at ICE facility allegedly pepper-sprayed, shot at with rubber bullets and blocked from contacting families URL",0
34090,"@iamfauva The shaderoom is made by a bunch of gay men to cater to a bunch of hyper masculine ""pro black"" homophobes",1
41356,F these women. I found out that they were actually beaten by 15 year old boys in an exhibition. The press of course won't tell you because of their hubris.,0
3119,"Damn, that fat ass needs to be taken, you need to be used like the dirty worthless whore you are",1
23444,look at jungoo's hair bouncing while he's running im so sad URL,0
23477,"Sush - why r u such a nuisance to me .,? Continuous seduction , shoe sex nonsense . U t gonna have sex with shoes ..15 times .,.kiss them , lick them . Not only u , all Suvars and Tcnd sck's Guys too",1
16605,She's not good enough for even a horse dick. She should be sentenced to abstinence for life.,0
37326,"@dahkillah @kellyk3059 @metsin6 @AmarAmarasingam @realjlive It doesn't help or change anything and we never said it did, but it's ignorant to say that we just accept when white people do it. Race-baiting doesn't help the overall conversation in any way.",0
35690,"This government is very keen to champion religious freedom. And yet indigenous people, who have a strong religious connection with their land and ancestry, can not rely on any kind of protection of their religious & spiritual rights #thedrum",0
5114,I'd make you take it in the Ass and let me pull out and fuck your mouth fast and hard,0
44140,"@TrueDepth, or they are just like you, totally uneducated, brainwashed by fake news and spread hatred with bigotry!",0
4813,Ask those shitheads the ratio of crusades to Muslim attacks.,1
1127,"Certainly not Israel — a brutal, kleptocratic, racist ethnocarcy.",1
12901,"I still haven't heard a good name for ex-Christians. There are more and more of us every day. It's a weird spot to be in, especially when a lot of your family is still religious.",0
21869,"@pamela12632553 @WayneDupreeShow Worse pope ever he's a total hypocrite lives behind a wall that was built to keep the hoards out, and tells them its wrong tells 🇬🇷 Greece🇬🇷 to love Muslims, but won't tell Iran to love Christians. 👎🏻👎🏻👎🏻",0
48167,and you STILL Can't Get Laid. poor fat ugly little troll.,1
1773,I'd want to slide into your hotel room and breed your tight virgin cunt until you succumb to the pleasure and admit you love being the breeding stock you were meant to be.,1
19106,"What about Western Rite Orthodoxy? I personally love Anglican Liturgics, and as an Orthodox Christian I respect the initial Reformation and departure from Rome. But I think if you do have strong opinions on the influence of the Church Fathers and on same sex marriage and female priests, Orthodoxy can be a viable option.",0
