id_text,text,label
957,Women rule the sexual market place with an iron fist. The fact that we have to train aggressively to get a good body and women just have to not be morbidly obese because desperate guys will jerk off to anything and everything.,0
8226,You childfree people are such faggots,1
25231,Please let me be your cock sucking little bimbo whore? #Slut #FaceFuck #BlowJob URL,1
47300,Why is she so stupid?,0
41133,Go beat yo mama and your sister freak ass bitch .,1
23464,"@antcrzvara Translation: ""Nobody mentioned sex, but my perversions about Black women are transparent.""",0
7864,"This thread...I can't. I got about half way down and couldn't read any more.  I just turned 39 last week. Been married to my wife for 18 years, no signs of being bi. And yet, when I came out to my wife, she still said ""I love you"". When I came out to my family, they still said ""I love you"". Let your daughter (or son) be who she (he) wants to be. The only discussion that needs to be had is ""I love and accept you"".",0
26396,I Ain't Got Time For No Bitch At All 💯,1
45176,The guy had fake passports and a address in Saudi Arabia. SAUDI ARABIA should burn,0
12556,"That's the thing, most guys do just wanna get laid but not rape anyone.",0
27664,If there is a heaven and if I'm going (not something I worry about) I'll be judged by my love of family & friends and service to my community… not by shaming my LGBTQ friends and supporting Trump who has never lived a single day of his life by the teachings of Christ. #Pride2019 URL,0
41198,Trump should go back to Europe where his forefathers came from.,0
32131,@sawatariis He's genderfluid afaik in the comics so !,0
44514,"DANNYBOY73 But it's easy to take over America as it's the superpower as the Zionist Jews have already demonstrated. Having done so the Zionist Jews can now select the puppet they want, all the puppets carry out their demands, number one being aid in resources and money to Israel and of course the finest human bait to use in fighting their wars against legitimate leaders in the Middle East. You really think this Twitter zombie is the one who controls the US? 🤦‍♂️",1
33388,"Bitch you try who, yo stupid dumb ass gone die soon",0
30974,@PrettyGirlHoe people will never be ready for this convo thoooo!!!,1
14170,"Fuck off you neckbeard cunt. We hate your kind. Scurry back, bitch.",1
16852,"I'd use that pussy, then your ass, and have you pull out my cum with your gagging throat.",1
26455,Trash white bitches love the n word,0
24175,"Question: ""Why should the women of America vote for you instead of our sisters, who are kind of more qualified?"" Mayor Buttigieg: ""I admire so many of the people running... I get it. And whether you decide to be for me or not, I promise I will be for you."" #PetePlaysHardball URL",0
45998,"I love all these women and support them. Continue your good work, ladies. You are real Americans",0
38284,"Race is not synonymous with culture. ""It is not race or faith that defines the true patriot, but attachment to this place that is ours.""  — Roger Scruton URL",0
